ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p
XLV,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,0.002691073959015574,0.016339281062767164,0.7258449657532673,0.5010610052723651,-0.2562165586380024,1.7079064901445369,1.4486159531786251,0.14744486350189542
XLU,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,-0.18944922553020493,0.023751665334074468,1.1458915969050107,0.8882603144887405,-0.5950666283891425,2.886849822199164,1.2900402936098254,0.19703666834067568
XLP,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,-0.24884491839589237,0.06867371547430223,1.8239328550766403,0.8422756927196472,0.17310283229260634,3.4747628778606745,2.165482004101642,0.030350792081042386
TLT,183,primary,d0_p5,car_raw,surprise_bps,HC1,0.32394917192418077,0.10377983613914332,-3.7315529158542553,0.9582563151194881,-5.6097007814465165,-1.853405050261994,-3.894107304045219,9.856101664696642e-05
GLD,164,primary,d0_p5,car_raw,surprise_bps,HC1,0.09710301874960361,0.02775024385054925,-2.608154005501375,1.2995092300174362,-5.155145293912927,-0.06116271708982331,-2.007029996598316,0.044746469097711454
QQQ,212,primary,d0_p5,car_adj,surprise_bps,HC1,0.2321989558487902,0.05717753810520543,-2.401410378729076,0.8502687763957956,-4.067906557643776,-0.7349141998143762,-2.824295617332221,0.0047384658384683675
XLK,213,primary,d0_p5,car_adj,surprise_bps,HC1,0.2593890421287551,0.050650737811913316,-2.027441883637251,0.7394547770047286,-3.476746614762616,-0.5781371525118862,-2.7418064588746125,0.006110233254492444
IEF,183,primary,d0_p5,car_raw,surprise_bps,HC1,0.190962609920788,0.13014140050762857,-1.8835636864112957,0.3761615948776219,-2.6208268647385813,-1.1463005080840103,-5.007325872871426,5.519144195854621e-07
XLY,213,primary,d0_p5,car_adj,surprise_bps,HC1,0.0025875339800782854,0.005615527064604553,-0.5054107337162436,0.5278784812350251,-1.5400335451505955,0.5292120777181084,-0.9574376521918151,0.3383464015875387
SPY,214,primary,d0_p5,car_raw,surprise_bps,HC1,0.20170911168907898,0.0014692141373335854,-0.4954471062657644,1.586510772169427,-3.6049510808026723,2.6140568682711436,-0.31228726268796775,0.7548222192637353
XLV,213,primary,d0_p5,car_adj,surprise_bps,HC1,-0.07867047522117278,6.173463893976994e-06,-0.01940089150635361,0.7639053773173506,-1.5166279186448415,1.4778261356321343,-0.0253969825091228,0.9797383179419182
XLB,213,primary,d0_p5,car_adj,surprise_bps,HC1,-0.07715169060644422,2.8757275391866344e-05,0.05116393584623176,0.6579679957738356,-1.2384296388504883,1.340757510542952,0.0777605235738828,0.9380185489487755
XLI,213,primary,d0_p5,car_adj,surprise_bps,HC1,0.02038668794127595,0.00010220596339760579,0.062395848193590134,0.6233907161084256,-1.1594275036755572,1.2842192000627375,0.10009107704250395,0.920272019247237
XLU,213,primary,d0_p5,car_adj,surprise_bps,HC1,-0.27944553385668025,0.0037525888240050875,0.657717697386376,0.8102553059363357,-0.9303535205313247,2.245788915304077,0.8117413024852873,0.41694008935394766
XLP,213,primary,d0_p5,car_adj,surprise_bps,HC1,-0.18340178784537203,0.011274249399474079,1.0210092084330953,0.8817753359185816,-0.7072386924230324,2.749257109289223,1.157901754384486,0.24690413151506796
XLRE,72,primary,d0_p5,car_adj,surprise_bps,HC1,-0.6135443263934535,0.009054674902402193,1.2598399129017837,3.674571958292957,-5.94218878395323,8.461868609756797,0.3428535152396497,0.7317086638764829
XLF,213,primary,d0_p5,car_adj,surprise_bps,HC1,-0.16252949842014913,0.01820673175193921,1.3490807422128306,0.8613602808158963,-0.3391543858996334,3.0373158703252945,1.5662212110999087,0.11729683866150949
XLE,213,primary,d0_p5,car_adj,surprise_bps,HC1,-0.09455840366873813,0.012216226212747427,1.8049619399865622,1.5659822565887989,-1.2643068833562456,4.87423076332937,1.152606890909694,0.24907177355271226
TLT,171,primary,d0_p5,car_raw,surprise_orth_bps,HC1,0.23390750201471028,0.06573865961834635,-2.982567240989955,0.9543111767793143,-4.852982777521447,-1.1121517044584621,-3.1253613219283056,0.001775867814618392
XLK,201,primary,d0_p5,car_adj,surprise_orth_bps,HC1,0.24535177721856272,0.05578507685218659,-2.4066386625343976,0.8734991625527297,-4.118665561663646,-0.694611763405149,-2.7551699712008806,0.00586616522566987
