ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p,sample,dep_mode
IEF,183,baseline,m1_p1,car_raw,surprise_bps,HC1,0.21435455515670587,0.04787193220477648,-0.9437337533866448,0.3732200791847253,-1.6752316668958933,-0.21223583987739614,-2.528625350083439,0.011451018809917913,baseline,auto
XLF,213,baseline,m1_p1,car_adj,surprise_bps,HC1,-0.18743510227478122,0.012874485686580117,-0.8579368187270067,0.49909532340579504,-1.8361456774547356,0.12027204000072227,-1.7189838864297502,0.08561730603449835,baseline,auto
XLB,213,baseline,m1_p1,car_adj,surprise_bps,HC1,-0.05194500424384442,0.006131513942330913,-0.5908400732238602,0.7033285038262229,-1.969338610023699,0.7876584635759785,-0.8400627445206513,0.40087320737193866,baseline,auto
XLI,213,baseline,m1_p1,car_adj,surprise_bps,HC1,-0.043232096926078795,0.0035296680589729235,-0.25936831278263883,0.36381619935932297,-0.9724349605191562,0.45369833495387846,-0.7129102916235838,0.4759012703054587,baseline,auto
XLRE,72,baseline,m1_p1,car_adj,surprise_bps,HC1,-0.1789315695215536,0.0005996915550856574,0.23635106058779287,1.7425703444319465,-3.179024055026379,3.651726176201965,0.1356335836558954,0.8921109548568457,baseline,auto
XLE,213,baseline,m1_p1,car_adj,surprise_bps,HC1,-0.17963252214569303,0.0011872338266334381,0.39550096334209295,1.125337609692666,-1.8101202221039245,2.6011221487881104,0.3514509423088648,0.7252500702822187,baseline,auto
XLU,213,baseline,m1_p1,car_adj,surprise_bps,HC1,-0.3081260620380382,0.007954295737382044,0.7206211537304488,0.8470699539743429,-0.9396054484452644,2.380847755906162,0.850722127906187,0.39492372818386634,baseline,auto
XLV,213,baseline,m1_p1,car_adj,surprise_bps,HC1,0.03409021129476566,0.015445780739381187,0.7567847851052092,0.4650574614000468,-0.1547110899805089,1.6682806601909275,1.627293072187086,0.10367486856954382,baseline,auto
XLP,213,baseline,m1_p1,car_adj,surprise_bps,HC1,-0.19870065269008708,0.022513001912861874,1.1082481746231683,0.9634940516549905,-0.7801654659391876,2.996661815185524,1.150238730295775,0.2500455583185788,baseline,auto
XLK,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.5090901975930016,0.09668115848459535,-4.188672119065613,1.370360450170335,-6.874529247237565,-1.5028149908936612,-3.0566207004478008,0.0022384733640624576,baseline,car_raw
QQQ,212,baseline,m1_p1,car_raw,surprise_bps,HC1,0.5274423486376213,0.09086194008763404,-4.150906009114999,1.5445922511780978,-7.1782511922237155,-1.1235608260062826,-2.6873797961559127,0.007201501713768319,baseline,car_raw
XLY,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.30845044515439907,0.09867940860607405,-4.01374491115983,1.0278779420693644,-6.028348658118933,-1.9991411642007282,-3.904884760032111,9.427029656369351e-05,baseline,car_raw
XLF,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.03508903657493008,0.059673493767756214,-3.739627897378782,0.8823307640784049,-5.468964417424163,-2.0102913773334006,-4.238351477277147,2.251670659736667e-05,baseline,car_raw
XLB,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.17057913460586682,0.07352111939701089,-3.4725311518756365,0.860839200250226,-5.159744980846344,-1.78531732290493,-4.033890592884539,5.486086883346413e-05,baseline,car_raw
XLI,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.17929204192363246,0.07119695938102977,-3.141059391434415,0.7250851182256297,-4.5622001088826165,-1.7199186739862136,-4.331987117762069,1.4776958976916247e-05,baseline,car_raw
SPY,214,baseline,m1_p1,car_raw,surprise_bps,HC1,0.24031295925177,0.06822001547253187,-2.8678724246479215,0.7305848294221987,-4.29979237796677,-1.4359524713290732,-3.9254475444228016,8.656863413858317e-05,baseline,car_raw
XLE,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.04289161670401815,0.024277669440577854,-2.486190115309683,1.0552682771830462,-4.554477932616084,-0.4179022980032816,-2.3559792036451315,0.01847395191187821,baseline,car_raw
XLU,213,baseline,m1_p1,car_raw,surprise_bps,HC1,-0.08560192318832709,0.03147080412937586,-2.1610699249213274,0.9092431137433394,-3.9431536810493286,-0.3789861687933261,-2.3767789849122276,0.017464548957146497,baseline,car_raw
XLV,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.256614350144477,0.043492637323459205,-2.124906293546567,0.7184304098721374,-3.533004022294305,-0.7168085647988284,-2.957706500654318,0.0030993707411729973,baseline,car_raw
GLD,164,baseline,m1_p1,car_raw,surprise_bps,HC1,0.27375510753346044,0.02224626986601741,-1.944261039126519,1.2466654903080734,-4.38768050089931,0.49915842264627275,-1.559569150058094,0.11886173153815464,baseline,car_raw
XLP,213,baseline,m1_p1,car_raw,surprise_bps,HC1,0.023823486159624287,0.029184327688704825,-1.7734429040286068,0.9594841324514332,-3.6539972473710747,0.107111439313861,-1.8483295804981688,0.06455467900849333,baseline,car_raw
XLRE,72,baseline,m1_p1,car_raw,surprise_bps,HC1,-0.11356021836736968,0.007928559254256062,-1.4003131925086372,2.497036280103574,-6.294414369601513,3.493787984584239,-0.560790086898759,0.5749406453379378,baseline,car_raw
TLT,183,baseline,m1_p1,car_raw,surprise_bps,HC1,0.3681023162571105,0.016079330377520074,-1.1380190523129208,0.9158315834450194,-2.9330159717694473,0.6569778671436063,-1.2426073449357515,0.21401256198384078,baseline,car_raw
IEF,183,baseline,m1_p1,car_raw,surprise_bps,HC1,0.21435455515670587,0.04787193220477648,-0.9437337533866448,0.3732200791847253,-1.6752316668958933,-0.21223583987739614,-2.528625350083439,0.011451018809917913,baseline,car_raw
