meeting_id,meeting_date,announcement_timestamp,scheduled,emergency,target_before,target_after,target_after_asof,raw_change_bps,surprise_bps,surprise_orth_bps,surprise_source,date_validated_official,official_source,official_release_title,hf_tnote02_bps,hf_tnote10_bps,hf_tbond_bps
FOMC19910327,1991-03-27,1991-03-27 11:30:00,True,False,6.0,6.0,1991-04-01,0.0,-1.4051230654624631,-0.06999551747668681,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.4910554466980882,-0.9043317710552476,-0.3278649406430829
FOMC19910430,1991-04-30,1991-04-30 09:30:00,False,True,6.0,5.75,1991-04-30,-25.0,-18.05148090255714,-17.26252592914947,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-10.0,-7.824268968547575,-5.78440285381134
FOMC19910430,1991-04-30,1991-04-30 11:30:00,False,True,6.0,5.75,1991-05-05,-25.0,3.650079906263417,4.439034879671092,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.8139362490733878,1.3394990857677425,1.2827328603332082
FOMC19910515,1991-05-15,1991-05-15 11:30:00,True,False,5.75,5.75,1991-05-20,0.0,1.793138042696034,3.2385345818200286,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.48818172191040987,0.45044673930027423,0.4913787092468449
FOMC19910705,1991-07-05,1991-07-05 11:30:00,True,False,5.75,5.75,1991-07-10,0.0,1.821196177161846,4.913540071969016,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.8195540490440124,2.291714187956204,2.8687444022904063
FOMC19910806,1991-08-06,1991-08-06 11:30:00,False,True,5.75,5.5,1991-08-11,-25.0,-11.17327739095466,-8.818302556766735,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-7.7,-3.332814335659387,-2.5635662203628975
FOMC19910821,1991-08-21,1991-08-21 11:30:00,True,False,5.5,5.5,1991-08-26,0.0,2.597266688199107,5.160609559694285,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.0,0.43848174935020906,0.15701279334432147
FOMC19910913,1991-09-13,1991-09-13 09:10:00,False,True,5.5,5.25,1991-09-18,-25.0,1.4351746132917942,2.755745863835133,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.4840857369674517,-0.4334606117819452,-0.15371792872182793
FOMC19910913,1991-09-13,1991-09-13 11:30:00,False,True,5.5,5.25,1991-09-13,-25.0,1.7609265642535048,3.081497814796844,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.3227467584016936,0.8686683668437294,0.6168700772050223
FOMC19911002,1991-10-02,1991-10-02 11:30:00,True,False,5.25,5.25,1991-10-07,0.0,1.6775132335931249,2.334779756549142,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.8033238064994178,0.0,0.15202597604604134
